motif	factors
Forkhead_Average_74	FOXA1,FOXA2,FOXA3,FOXA4,FOXB1,FOXB2,FOXC1,FOXC2,FOXD1,FOXD2,FOXD3,FOXD4,FOXD4L1,FOXD4L1.1,FOXD4L1.2,FOXD4L3,FOXD4L5,FOXD4L6,FOXE1,FOXE3,FOXF1,FOXF1A,FOXF2,FOXG1,FOXI1,FOXI2,FOXI3,FOXI4.1,FOXI4.2,FOXJ1,FOXJ1.2,FOXJ2,FOXJ3,FOXK2,FOXL1,FOXL2,FOXO3,FOXO4,FOXO6,FOXQ1,FOXS1,KIAA0415
Forkhead_Average_1	FOXA1,FOXA2,FOXA3,FOXA4,FOXB1,FOXB2,FOXC1,FOXC2,FOXD1,FOXD2,FOXD3,FOXD4,FOXD4L1,FOXD4L1.1,FOXD4L1.2,FOXD4L3,FOXD4L5,FOXD4L6,FOXE1,FOXE3,FOXF1,FOXF1A,FOXF2,FOXG1,FOXI1,FOXI2,FOXI3,FOXI4.1,FOXI4.2,FOXJ1,FOXJ1.2,FOXJ2,FOXJ3,FOXK2,FOXL1,FOXL2,FOXQ1,FOXS1,KIAA0415
Forkhead_M2151_1.01	FOXH1,FOXH1.2
Forkhead_M6059_1.01	FOXA1,FOXA2,FOXA3,FOXA4,FOXB1,FOXB2,FOXC1,FOXC2,FOXD1,FOXD2,FOXD3,FOXD4,FOXD4L1,FOXD4L1.1,FOXD4L1.2,FOXD4L3,FOXD4L5,FOXD4L6,FOXE1,FOXE3,FOXF1,FOXF1A,FOXF2,FOXI1,FOXI2,FOXI3,FOXI4.1,FOXI4.2,FOXJ1,FOXJ1.2,FOXJ2,FOXJ3,FOXK2,FOXL1,FOXL2,FOXQ1,FOXS1,KIAA0415
Forkhead_M1734_1.01	FOXA1,FOXA2,FOXA3,FOXA4,FOXB1,FOXB2,FOXC1,FOXC2,FOXD1,FOXD2,FOXD3,FOXD4,FOXD4L1,FOXD4L1.1,FOXD4L1.2,FOXD4L3,FOXD4L5,FOXD4L6,FOXE1,FOXE3,FOXF1,FOXF1A,FOXF2,FOXI1,FOXI2,FOXI3,FOXI4.1,FOXI4.2,FOXJ1,FOXJ1.2,FOXJ2,FOXJ3,FOXK2,FOXL1,FOXL2,FOXQ1,FOXS1,KIAA0415
Forkhead_M1735_1.01	FOXA1,FOXA2,FOXA3,FOXA4,FOXB1,FOXB2,FOXC1,FOXC2,FOXD1,FOXD2,FOXD3,FOXD4,FOXD4L1,FOXD4L1.1,FOXD4L1.2,FOXD4L3,FOXD4L5,FOXD4L6,FOXE1,FOXE3,FOXF1,FOXF1A,FOXF2,FOXI1,FOXI2,FOXI3,FOXI4.1,FOXI4.2,FOXJ1,FOXJ1.2,FOXJ2,FOXJ3,FOXK2,FOXL1,FOXL2,FOXQ1,FOXS1,KIAA0415
Forkhead_Average_75	FOXO1,FOXO3,FOXO4,FOXO6
GATA_Average_32	GATA1,GATA2,GATA3,GATA4,GATA5,GATA6
GATA_M3183_1.01	GATA1,GATA2,GATA3,GATA4,GATA5,GATA6
GATA_M3198_1.01	GATA1,GATA2,GATA3,GATA4,GATA5,GATA6
