Motif	Factor	Evidence	Curated
LYL1_MOUSE.H11MO.0.A	Lyl1	ChIP-seq	Y
MAFB_MOUSE.H11MO.0.B	Mafb	ChIP-seq	Y
MAFF_MOUSE.H11MO.0.A	Maff	ChIP-seq	Y
MAFG_MOUSE.H11MO.0.A	Mafg	ChIP-seq	Y
MAFK_MOUSE.H11MO.0.A	Mafk	ChIP-seq	Y
MAF_MOUSE.H11MO.0.A	Maf	ChIP-seq	Y
MAX_MOUSE.H11MO.0.A	Max	ChIP-seq	Y
MAZ_MOUSE.H11MO.0.A	Maz	ChIP-seq	Y
MBD2_MOUSE.H11MO.0.B	Mbd2	ChIP-seq	Y
MECP2_MOUSE.H11MO.0.C	Mecp2	ChIP-seq	Y
MEF2A_MOUSE.H11MO.0.A	Mef2a	ChIP-seq	Y
MEF2C_MOUSE.H11MO.0.A	Mef2c	ChIP-seq	Y
MEF2D_MOUSE.H11MO.0.A	Mef2d	ChIP-seq	Y
MEIS1_MOUSE.H11MO.0.A	Meis1	ChIP-seq	Y
MEIS2_MOUSE.H11MO.0.B	Meis2	ChIP-seq	Y
MITF_MOUSE.H11MO.0.A	Mitf	ChIP-seq	Y
MSGN1_MOUSE.H11MO.0.C	Msgn1	ChIP-seq	Y
MTF1_MOUSE.H11MO.0.C	Mtf1	ChIP-seq	Y
MXI1_MOUSE.H11MO.0.A	Mxi1	ChIP-seq	Y
MYBA_MOUSE.H11MO.0.C	Mybl1	ChIP-seq	Y
MYB_MOUSE.H11MO.0.A	Myb	ChIP-seq	Y
MYCN_MOUSE.H11MO.0.A	Mycn	ChIP-seq	Y
MYC_MOUSE.H11MO.0.A	Myc	ChIP-seq	Y
MYF6_MOUSE.H11MO.0.C	Myf6	ChIP-seq	Y
MYOD1_MOUSE.H11MO.0.A	Myod1	ChIP-seq	Y
MYOG_MOUSE.H11MO.0.A	Myog	ChIP-seq	Y
NANOG_MOUSE.H11MO.0.A	Nanog	ChIP-seq	Y
NDF1_MOUSE.H11MO.0.A	Neurod1	ChIP-seq	Y
NDF2_MOUSE.H11MO.0.A	Neurod2	ChIP-seq	Y
NF2L1_MOUSE.H11MO.0.C	Nfe2l1	ChIP-seq	Y
